ring_id,datetime_trunc,year,reporting_type,dt,time,layer_1_vout,layer_1_concentration,layer_1_setpoint,layer_2_vout,layer_2_concentration,layer_2_setpoint,wind_speed,wind_direction,sector,O3_on,leaf_wetness,file_source,number_of_records,datetime,Range_flag,evaluator,replacement_value,explanation
0,8/3/2019 22:21,2019,M,8/3/2019,22:21:50,0,1005,600,0,0,0,0,296,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 22:21,layer_1_concentration,YF,1005,real high values at night
0,8/3/2019 22:22,2019,M,8/3/2019,22:22:50,0,1008,600,0,0,0,0,295,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 22:22,layer_1_concentration,YF,1008,real high values at night
0,8/3/2019 22:50,2019,M,8/3/2019,22:50:50,0,1019,600,0,0,0,0,0,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 22:50,layer_1_concentration,YF,1019,real high values at night
0,8/3/2019 22:51,2019,M,8/3/2019,22:51:50,0,1134,600,0,0,0,0,38,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 22:51,layer_1_concentration,YF,1134,real high values at night
0,8/3/2019 22:52,2019,M,8/3/2019,22:52:50,0,1110,600,0,0,0,0,59,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 22:52,layer_1_concentration,YF,1110,real high values at night
0,8/3/2019 22:53,2019,M,8/3/2019,22:53:50,0,1128,600,0,0,0,0,59,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 22:53,layer_1_concentration,YF,1128,real high values at night
0,8/3/2019 22:54,2019,M,8/3/2019,22:54:50,0,1164,600,0,0,0,0,59,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 22:54,layer_1_concentration,YF,1164,real high values at night
0,8/3/2019 22:55,2019,M,8/3/2019,22:55:50,0,1094,600,0,0,0,0,67,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 22:55,layer_1_concentration,YF,1094,real high values at night
0,8/3/2019 22:56,2019,M,8/3/2019,22:56:50,0,1085,600,0,0,0,0,67,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 22:56,layer_1_concentration,YF,1085,real high values at night
0,8/3/2019 22:57,2019,M,8/3/2019,22:57:50,0,1071,600,0,0,0,0,67,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 22:57,layer_1_concentration,YF,1071,real high values at night
0,8/3/2019 22:58,2019,M,8/3/2019,22:58:50,0,1064,600,0,0,0,0,67,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 22:58,layer_1_concentration,YF,1064,real high values at night
0,8/3/2019 22:59,2019,M,8/3/2019,22:59:50,0,1080,600,0,0,0,0,67,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 22:59,layer_1_concentration,YF,1080,real high values at night
0,8/3/2019 23:00,2019,M,8/3/2019,23:00:50,0,1071,600,0,0,0,0,67,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R9/Avg_080319.csv,1438,8/3/2019 23:00,layer_1_concentration,YF,1071,real high values at night
